product_id,product_name,product_group,product_brand,category_id,supplier_id
7276,Organic Baby Salad Leaves Lettuce Mix,Organic vegetables,Coles,7,3
7277,Organic Kent Pumpkin,Organic vegetables,Coles,7,3
7278,Organic Baby Broccoli,Organic vegetables,Coles,7,3
7279,Organic Green Beans Prepacked,Organic vegetables,Coles,7,3
7280,Organic Broccoli Prepacked,Organic vegetables,Coles,7,3
7281,Organic Snacking Tomatoes,Organic vegetables,Coles,7,3
7282,Organic Butternut Pumpkin,Organic vegetables,Coles,7,3
7283,Organic Celery,Organic vegetables,Coles,7,3
7284,Organic White Mushroom,Organic vegetables,Coles,7,3
7285,Organic Lebanese Cucumbers Prepacked,Organic vegetables,Coles,7,3
7286,Organic Sweet Corn,Organic vegetables,Coles,7,3
7287,Beef Stir Fry Strips,Stir fry & diced beef,Coles,1,0
7288,Prepacked Organic Beetroot,Organic vegetables,Coles,7,3
7289,Beef Diced,Stir fry & diced beef,Coles,1,0
7290,Organic Carrots Prepacked,Organic vegetables,Coles,7,3
7291,Graze Grassfed Beef Stir Fry,Stir fry & diced beef,Coles,1,0
7292,Organic Cauliflower Prepacked,Organic vegetables,Coles,7,3
7293,Graze Grassfed Beef Diced Steak,Stir fry & diced beef,Coles,1,0
7294,Organic Baby Cos Lettuce,Organic vegetables,Coles,7,3
7295,Diced Casserole,Stir fry & diced beef,Coles,1,0
7296,Organic Sweet Potatoes Prepacked,Organic vegetables,Coles,7,3
7297,Beef Stir Fry Free Range Organic,Stir fry & diced beef,Cleaver's,1,0
7298,Organic Chopped Kale,Organic vegetables,Coles,7,3
7299,Organic Brushed Potatoes Prepacked,Organic vegetables,Coles,7,3
7300,Organic Brushed Potatoes Prepacked,Organic vegetables,Coles,7,3
7301,Organic Baby Capsicums,Organic vegetables,Coles,7,3
7302,Organic Pak Choy Bunch,Organic vegetables,Coles,7,3
7303,Organic Iceberg Lettuce,Organic vegetables,Coles,7,3
7304,Organic Green Kale,Organic vegetables,Coles,7,3
7305,Organic Green Asparagus,Organic vegetables,Coles,7,3
7306,Organic Leek,Organic vegetables,Coles,7,3
7307,Organic Beetroot Prepacked,Organic vegetables,Coles,7,3
7308,Organic Kale With Vegetables,Organic vegetables,Coles,7,3
7309,Organic Stir Fry,Organic vegetables,Coles,7,3
7310,Organic Parsnip Prepacked,Organic vegetables,Coles,7,3
7311,Organic Shepard Avocado Loose,Organic vegetables,Coles,7,3
7312,Herb Crusted Lamb Rack,GRAZE Grass-Fed Lamb,Coles,2,0
7313,Sweet Gold Potatoes Loose,Potatoes,Coles,7,3
7314,White Potatoes Prepacked,Potatoes,Coles,7,3
7315,Creme Gold Washed Potatoes Loose,Potatoes,Coles,7,3
7316,Brushed Potatoes,Potatoes,Coles,7,3
7317,Baby White Potatoes Prepacked,Potatoes,Coles,7,3
7318,Gold Sweet Potatoes Prepacked,Potatoes,Coles,7,3
7319,Potatoes Prepacked,Potatoes,Spud Lite,7,3
7320,Carisma Washed Potatoes Prepacked,Potatoes,Coles,7,3
7321,Red Royale Washed Potatoes Prepacked,Potatoes,Coles,7,3
7322,Creme Royale Brushed Potatoes loose,Potatoes,Coles,7,3
7323,I'm Perfect Sweet Potato,Potatoes,Coles,7,3
7324,Red Royale Potatoes Loose,Potatoes,Coles,7,3
7325,Baby Carisma Potatoes Prepacked,Potatoes,Coles,7,3
7326,Baby Red Royale Potatoes Prepacked,Potatoes,Coles,7,3
7327,Coles Spudlite Baby Potato,Potatoes,Coles,7,3
7328,Brushed Baby Potato,Potatoes,Coles,7,3
7329,Brushed Potatoes,Potatoes,Coles,7,3
7330,Potatoes,Potatoes,Little Tractor,7,3
7331,Royal Blue Washed Potatoes Prepacked,Potatoes,Coles,7,3
7332,Kestrel Potatoes Prepacked,Potatoes,Coles,7,3
7333,Dutch Cream Brushed Potatoes Loose,Potatoes,Coles,7,3
